Entrances,Not_reside,Used,floors,appartment,RuleID,Name,Shape_Leng,Shape_Area,lat,lon
3,0,מגורים,2,4,1,,81.53565347,243.313877,31.24777766,34.79542018
2,0,מגורים,2,3,1,,90.82497138,230.0642167,31.24670901,34.79060076
2,0,מגורים,2,2,1,,85.70829736,233.5974062,31.24680147,34.79036475
1,0,מגורים,4,8,1,,68.75259015,235.2929869,31.24827904,34.79035338
1,0,מגורים,4,8,1,,74.47982626,252.9483703,31.24848129,34.79023555
1,0,מגורים,2,8,1,,58.87049303,201.7483053,31.24958122,34.790356
1,0,מגורים,2,4,1,,67.5268163,169.4299121,31.24615216,34.79043495
2,0,מגורים,2,4,1,,75.17318663,193.151418,31.24628051,34.79090263
3,0,מגורים,2,4,1,,77.8694285,190.9950571,31.24626648,34.79518974
3,0,מגורים,2,4,1,,83.68683514,215.1676561,31.24630352,34.79449104
1,0,בית כנסת,1,0,1,,59.34370155,181.1964974,31.24632048,34.79398547
2,0,מגורים,2,3,1,,67.27902735,163.8724789,31.24621544,34.79199461
1,0,מגורים,4,8,1,,63.83909303,170.1632124,31.24617937,34.79110988
1,1,מקלט,1,0,1,,16.65624011,16.09095967,31.24585615,34.79359403
1,1,מקלט,1,0,1,,8.652200392,4.361439624,31.2459709,34.79358504
1,1,מקלט,1,0,1,,8.344215294,4.090823644,31.24607467,34.79407056
1,1,מקלט,1,0,1,,65.15596641,108.6068778,31.24607328,34.79425403
1,0,תשתית,1,0,1,,10.6168845,5.967939364,31.2450196,34.79521906
1,0,מגורים,2,4,1,,41.34072584,74.92804577,31.24560501,34.79496047
1,0,מגורים,2,4,1,,70.95420111,186.2233785,31.24588663,34.79506745
1,0,מגורים,3,4,1,,104.0752245,305.1110238,31.24606101,34.79548725
1,0,מגורים,2,4,1,,61.48352804,130.2489661,31.24580859,34.79534445
1,0,מגורים,2,4,1,,93.2744946,300.0417175,31.24555596,34.79527871
1,0,מגורים,2,4,1,,105.6288331,290.8268812,31.24529434,34.79513671
1,0,מגורים,2,4,1,,75.35131248,239.0368747,31.24508019,34.79500194
1,0,מגורים,2,4,1,,81.48298282,210.1128117,31.24499481,34.7944513
1,0,מגורים,2,4,1,,84.5429917,240.393663,31.2447938,34.79359931
1,0,מגורים,3,4,1,,85.56924435,203.0758446,31.2448406,34.79313338
1,0,מגורים,2,4,1,,65.07762376,176.3876068,31.24472296,34.79453889
1,0,מגורים,2,4,1,,94.10156067,266.4552634,31.24461581,34.79425864
1,0,מגורים,2,4,1,,86.32499926,241.6279846,31.24452948,34.79367905
1,0,מגורים,2,4,1,,88.54173751,250.1356087,31.24455192,34.79335288
1,0,מגורים,4,8,1,,60.92787881,150.930724,31.24504738,34.79106582
1,0,מגורים,4,8,1,,62.21960301,160.3919239,31.24511966,34.79092773
1,0,מגורים,4,8,1,,64.93824163,169.8007668,31.24516739,34.79070451
1,0,מגורים,2,4,1,,72.05559959,173.8980098,31.2454808,34.79152258
1,0,מגורים,3,4,1,,82.71519853,230.2870802,31.24530734,34.79189212
1,0,מגורים,3,4,1,,79.57332235,217.0303731,31.24514674,34.7923169
1,0,מגורים,2,4,1,,87.31094016,226.7360839,31.24500339,34.79270198
1,0,מגורים,3,4,1,,85.45415837,228.3369363,31.24470009,34.79277176
1,0,מגורים,2,4,1,,92.8933379,255.7085255,31.24481111,34.79246835
1,0,מגורים,2,4,1,,75.40846346,212.8690035,31.24492032,34.79219423
1,0,מגורים,2,4,1,,64.2741059,150.1822215,31.24500666,34.79188766
